"site","date","sample_id","life_stage","size_class_1","size_class_2","size_class_3","size_class_4","size_class_5","size_class_6","size_class_7","size_class_8","size_class_9","size_class_10","size_class_11","size_class_12","size_class_13","size_class_14","size_class_15","size_class_16","size_class_17","size_class_18","size_class_19","size_class_20","size_class_21","size_class_22","size_class_23","size_class_24","size_class_25","size_class_26","size_class_27","sum"
"O",2016-04-21,"O_2016-04-21","fn",0,0,0,0,23,26,54,29,39,37,23,16,7,9,4,6,4,2,0,0,0,0,0,0,0,0,0,279
"O",2016-04-21,"O_2016-04-21","j",9,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"O",2016-04-21,"O_2016-04-21","sum",9,0,8,17,23,26,55,33,44,46,30,25,15,15,10,11,11,8,2,1,3,2,1,0,0,0,0,395
"O.UP",2016-06-25,"O.UP_2016-06-25","m",0,0,0,0,0,0,0,0,2,1,0,2,0,4,2,1,0,2,0,3,0,0,0,1,0,0,0,18
"O.UP",2016-06-25,"O.UP_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
"O.UP",2016-06-25,"O.UP_2016-06-25","fn",0,0,0,0,7,15,8,14,7,11,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,73
"O.UP",2016-06-25,"O.UP_2016-06-25","j",26,10,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"O.UP",2016-06-25,"O.UP_2016-06-25","sum",26,10,15,12,7,15,8,14,9,12,3,5,2,7,3,2,0,2,0,3,0,1,0,1,0,0,0,157
"O.DOWN",2016-06-25,"O.DOWN_2016-06-25","m",0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,7,6,11,5,1,3,6,1,1,0,0,0,56
"O.DOWN",2016-06-25,"O.DOWN_2016-06-25","fo",0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,5,0,1,0,2,0,0,0,0,0,0,0,20
"O.DOWN",2016-06-25,"O.DOWN_2016-06-25","fn",0,0,0,0,4,2,0,1,0,1,4,5,4,6,2,2,1,2,1,0,0,0,0,0,0,0,0,35
"O.DOWN",2016-06-25,"O.DOWN_2016-06-25","j",44,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"O.DOWN",2016-06-25,"O.DOWN_2016-06-25","sum",44,2,1,6,4,2,0,1,0,1,5,10,7,16,10,14,7,14,6,3,3,6,1,1,0,0,0,164
"P",2016-04-21,"P_2016-04-21","m",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,4
