"site","date","sample_id","phylum","class","sub_class","order","family","genus","species","abundance","origin"
"K","2016-06-24","K_2016-06-24","Arthropoda","Malacostraca",NA,"Amphipoda","Gammaridae","Gammarus","Gammarus balcanicus",39,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,1,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Ceratopogonidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,341,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,3,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Psychodidae",NA,NA,2,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,6,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Tabanidae",NA,NA,3,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,23,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis",NA,21,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,11,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,94,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Plecoptera","Leuctridae","Leuctra",NA,4,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche",NA,71,1
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Caenidae","Caenis","Caenis luctuosa",25,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus","Ecdyonurus dispar",5,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Coleoptera","Elmidae","Elmis",NA,1,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella","Serratella ignita",152,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Limnephilidae","Halesus","Halesus digitatus",1,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche bulbifera",11,2
"K","2016-06-24","K_2016-06-24","Arthropoda","Insecta",NA,"Odonata","Gomphidae","Onychogomphus","Onychogomphus forcipatus",3,2
"L","2016-06-24","L_2016-06-24","Annelida","Clitellata","Oligochaeta",NA,NA,NA,NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Arachnida","Acari","Trombidiformes",NA,NA,NA,30,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Chironomidae",NA,NA,12,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Limoniidae",NA,NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,12,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Baetidae","Baetis",NA,30,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Heptageniidae","Ecdyonurus",NA,1,1
"L","2016-06-24","L_2016-06-24","Arthropoda","Insecta",NA,"Ephemeroptera","Ephemerellidae","Serratella",NA,1,1
